Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
40,9/09/2019,7,MT,1,D,,,43.93129992,13.71148577,1.018095511,11.49356607,1.440161772,1.420298032,0,0.220186713,0,0,,,,,,,,,,,,,,,,,,,,,,,
41,9/09/2019,7,LT,1,P,,,49.05205182,15.71806322,1.386975319,19.20978877,2.04757342,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
42,9/09/2019,7,LT,1,D,,,70.56630483,14.62188889,1.472809322,18.15055929,2.08003718,2.740382082,0,1.46340964,0.449453279,0,,,,,,,,,,,,,,,,,,,,,,,
43,10/09/2019,8,ST,1,P,3,,21.34461541,5.150930761,0.475858799,4.505564229,0.622296252,0,0,0,0,0,,,,,,,,1521568323,4238248.72,9.182290616,0.001209706,516266722.4,4511057.475,8.712865842,0.003794845,2037835045,8749306.195,9.309167025,0.00186462,2.947329021,0.017543881,74.66616359,0.112596089
44,10/09/2019,8,ST,1,D,3,,25.15931008,5.622407499,0.551645506,4.581143382,0.662829625,0,0,0,0,0,,,,,,,,1771441209,187225722.3,9.247110508,0.045986844,1269477044,157205753.3,9.101953446,0.053918971,3040918253,344431475.6,9.481607357,0.049296217,1.396989944,0.025513761,58.27864635,0.444085575
45,10/09/2019,8,MT,1,P,,,18.45471126,12.83136207,0.467730685,7.101935025,1.005258578,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
46,10/09/2019,8,MT,1,D,,,40.93824589,15.68196442,1.016393985,11.87315234,1.411624839,1.109010185,0,0.15845558,0,0,,,,,,,,,,,,,,,,,,,,,,,
47,10/09/2019,8,LT,1,P,,,46.92124911,18.45861522,1.364577201,16.48661141,1.94245308,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
48,10/09/2019,8,LT,1,D,,,60.13144115,15.00209797,1.445482264,17.80155688,2.131129042,2.196254722,0,1.05316231,0.32554107,0,,,,,,,,,,,,,,,,,,,,,,,
49,11/09/2019,9,ST,1,P,3,,18.0404,4.51311549,0.477102973,5.136268396,0.66510353,0,0,0,0,0,,,,,,,,1348169963,35020693.65,9.129671372,0.011282706,456468864.5,29506814.84,8.658957008,0.028093006,1804638828,64527508.49,9.256251439,0.015532147,2.957174909,0.114435229,74.71887558,0.731090062
50,11/09/2019,9,ST,1,D,3,,22.1326818,5.661790914,0.543181265,5.003096315,0.703851676,0,0,0,0,0,,,,,,,,1439508399,38307292.12,9.158137301,0.011558536,890941769.3,39590061.42,8.949634827,0.019304749,2330450168,77897353.53,9.367318479,0.01451938,1.616355979,0.028828304,61.77658104,0.421164535
51,11/09/2019,9,MT,1,P,,,15.73957223,12.54096004,0.513534382,6.898217197,1.0891858,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
52,11/09/2019,9,MT,1,D,,,31.76611279,15.37672195,0.960871312,10.91793066,1.30752655,0.779969346,0,0.128242814,0,0,,,,,,,,,,,,,,,,,,,,,,,
53,11/09/2019,9,LT,1,P,,,42.38394276,21.0617422,1.081725864,12.13580163,1.765504005,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
54,11/09/2019,9,LT,1,D,2,15,56.65288569,17.09375588,1.439743543,17.14450258,2.075539602,1.666142193,0,0.743449587,0.237615391,0,0,0,0,0,0,11.60457897,0.589253996,3060755904,73989423.88,9.48574409,0.010499435,2597537940,45014160.48,9.414518142,0.00756278,5658293844,116463515,9.752623937,0.008964177,1.178265789,0.01291079,54.09084797,0.27131863
55,12/09/2019,10,ST,1,P,3,,15.75990957,3.945295293,0.463028125,5.108513833,0.686043311,0,0,0,0,0,,,,,,,,837975943,1333569.368,8.923231276,0.000691144,490025987.5,26145309.99,8.68990981,0.023182762,1328001931,27478879.35,9.123152215,0.008987018,1.712429119,0.088645137,63.11297851,1.205508026
56,12/09/2019,10,ST,1,D,3,,21.5694022,5.535697865,0.580149237,5.20115027,0.707846336,0,0,0,0,0,,,,,,,,1375604396,140178091.6,9.137363167,0.044332705,738351648.4,79568938.89,8.866998661,0.046892929,2113956044,219747030.5,9.323919555,0.045226747,1.863666846,0.010986502,65.0794798,0.133973113
57,12/09/2019,10,MT,1,P,,,16.52212938,10.94454516,0.581885662,6.404842613,1.145327005,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
58,12/09/2019,10,MT,1,D,,,34.72212024,17.01931527,0.922376995,11.12059855,1.379144665,0.538290715,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
59,12/09/2019,10,LT,1,P,4,16,39.66957358,25.00137575,1.086597865,8.978104466,1.803775734,0,0,0,0,0,0,0,0,0,0,10.64804036,0.905195382,3132968381,100620718.9,9.495805029,0.014063938,1811554025,83720380.26,9.257737015,0.020317011,4944522406,184340701.6,9.693920511,0.016348969,1.730207168,0.025006879,63.37070385,0.333922911
60,12/09/2019,10,LT,1,D,,,54.32851448,20.47331801,1.52979038,16.47320882,2.194052012,1.182990013,0,0.510808511,0.187877371,0,,,,,,,,,,,,,,,,,,,,,,,
61,13/09/2019,11,MT,1,P,3,,20.6199536,12.54235441,0.792902996,7.115787625,1.280567191,0,0,0,0,0,,,,,,,,1240648649,18881662.16,9.093623657,0.006609864,1467797297,9612830.025,9.166661427,0.002844282,2708445946,9268832.132,9.432718901,0.001486244,0.845305472,0.018399979,45.8057362,0.540383883
